species,larval,postlarval,juvenile.adult,total_farmed_d
vannamei,6.453361511,10.97517468,60.55931778,123.9637455
vannamei,1.383212865,20.40589669,106.6909637,161.0743112
vannamei,1.735665756,14.50101204,87.42256114,133.7328028
vannamei,0.765557161,11.20040615,87.95961484,101.6612569
vannamei,1.854578708,11.47693969,66.22702466,176.3705112
vannamei,0.545107572,14.09703404,69.90972058,165.5331982
vannamei,1.726306906,13.3298492,104.0614245,131.9377339
vannamei,11.30741871,11.72290772,80.31822586,168.6380308
vannamei,0.846549124,15.66503118,90.45991989,115.6181062
vannamei,0.759831554,15.67582394,58.34752838,104.2481088
vannamei,4.970754096,11.26664459,95.10726912,163.9259177
vannamei,4.102687369,15.56675478,106.9958978,203.2633458
vannamei,3.93499589,12.31377783,55.27422534,183.8167947
vannamei,7.813312118,16.04148934,75.89722547,141.4813958
vannamei,4.685204711,11.15096804,66.23525554,131.887749
vannamei,1.15330399,17.60925916,80.51252838,179.0599926
vannamei,1.179223618,10.59600726,74.1179416,188.0439188
vannamei,1.269055761,18.00678251,108.2566222,127.8971924
vannamei,0.914597836,21.720666,53.0658477,128.4362543
vannamei,8.348516739,22.6954404,55.63822456,164.3985838
vannamei,5.605523328,15.99055086,67.75131967,150.1119413
vannamei,4.850300845,11.83396495,52.05868738,200.9585704
vannamei,4.267906072,22.53952228,91.74089391,106.9999813
vannamei,1.335651571,11.66548893,76.69794889,164.6758851
vannamei,3.981170033,18.17399918,84.67291817,134.4526043
vannamei,5.170869241,12.10474004,72.3886972,175.8774695
vannamei,4.705379548,16.35915242,61.41043177,139.6967157
vannamei,0.889409005,13.91568164,90.05813913,122.125927
vannamei,7.640636105,10.53521719,84.69567577,145.9486487
vannamei,5.637533868,11.25538934,60.1534778,191.7504886
vannamei,3.299192004,17.48883517,85.48753295,168.4153054
vannamei,0.406723734,17.94983278,98.47873829,119.4780107
vannamei,2.510757032,13.89681894,50.3247715,149.9601184
vannamei,1.839822898,14.88936718,58.04619023,104.1887169
vannamei,1.475367802,15.55093862,109.0719548,122.3079001
vannamei,0.975298736,14.66106177,95.97268417,171.0738356
vannamei,4.118341102,21.00606755,94.26956309,142.9969103
vannamei,3.179792915,19.6940888,83.70988106,147.9008709
vannamei,1.84240025,11.74275068,93.02847994,126.8533448
vannamei,0.689555514,13.9863671,73.37073345,188.2219702
vannamei,1.193645512,17.31901211,107.9694472,116.7894207
vannamei,0.974957767,12.66304583,55.31480438,152.2865554
vannamei,0.562167359,14.44757391,89.17249878,137.6248178
vannamei,2.119963018,18.39030467,90.1372774,194.5234003
vannamei,0.49098276,19.51326847,100.4815973,184.4468506
vannamei,0.712265594,13.68481106,87.5728478,190.3131155
vannamei,2.895677207,14.06390103,59.3723129,133.86747
vannamei,0.896610839,17.51753041,69.39943672,150.0629082
vannamei,4.700307988,18.38491659,68.71041939,167.0746454
vannamei,1.555122631,14.65652234,62.12497365,109.6840831
vannamei,2.425510806,16.41684019,64.85459038,102.7940625
vannamei,1.662915137,16.41347053,73.88091143,151.7619389
vannamei,4.808418734,13.85335491,78.47537618,127.7799566
vannamei,1.196652012,20.4878034,79.63781156,144.2348118
vannamei,1.497346995,20.86155726,78.45934983,111.3750035
vannamei,0.942065087,11.88719158,76.94850774,185.6819173
vannamei,0.794084857,15.37309167,109.5030329,134.4210518
vannamei,12.96935693,16.96257098,53.49122411,159.5084514
vannamei,12.22745358,17.38655582,98.03893745,141.8349792
vannamei,1.263984433,14.33247524,62.9872486,140.6365199
vannamei,4.366689978,17.10010693,103.2740505,151.8111066
vannamei,0.510483557,14.13519526,77.05562582,139.2041567
vannamei,3.155374398,10.89646417,65.05201921,152.6152032
vannamei,8.041285041,13.14183655,54.55752463,112.8364298
vannamei,2.335342518,16.27673793,61.04217877,160.5080186
vannamei,2.341491708,13.33241816,61.84195322,135.8608608
vannamei,8.078301063,9.335937523,94.09472679,137.9775956
vannamei,3.036114319,18.60542936,64.76849814,169.3490544
vannamei,1.28499539,17.94861051,80.906086,173.273235
vannamei,1.794041437,14.74060237,106.6540501,140.4269848
vannamei,3.642497909,17.90219704,69.50820778,127.7689098
vannamei,5.397120164,15.28600456,62.4893064,171.4000932
vannamei,0.573691613,14.78142671,100.2632643,120.2578048
vannamei,2.060509403,14.9108176,78.46467926,114.7317127
vannamei,0.746726777,15.28281631,98.47104584,128.5802513
vannamei,4.877292542,12.11359047,105.6234957,159.997731
vannamei,3.250215872,16.90049502,70.20445437,132.5220449
vannamei,1.06302016,12.46064765,102.2171335,162.3732906
vannamei,2.496253782,17.49287955,54.79059418,200.4712173
vannamei,7.390467225,14.95306523,67.12332617,121.7889135
vannamei,4.068438002,12.75066168,96.08759356,155.3155007
vannamei,1.807348229,11.88454352,81.42748627,140.8204104
vannamei,2.462361741,16.48226827,55.96541423,148.435761
vannamei,0.658022054,15.02898479,92.67808076,173.5691135
vannamei,2.940126712,19.65096817,55.6284312,176.2552105
vannamei,6.043415391,12.41487255,106.2132592,171.922153
vannamei,4.861771848,15.01240247,96.04657079,119.062965
vannamei,3.871622361,13.40090224,68.33650634,118.5974053
vannamei,2.082324882,14.58076274,75.46434809,122.8396334
vannamei,1.63969634,19.59326243,71.30745032,179.8517367
vannamei,2.755446032,17.63910999,72.24740321,115.0939499
vannamei,1.088927812,16.75023674,63.48591261,157.572994
vannamei,1.237826076,20.94287887,58.58802746,171.215619
vannamei,2.330574162,13.48175983,63.32203256,139.3945315
