vannamei,monodon,other_pen,macrobrchium
4.969E+11,25664575776,13811843761,39571722425
5.58818E+11,26666758433,16975547179,23545752424
3.25456E+11,29203857496,14635499957,32986584899
3.7114E+11,11989528399,20275619250,34507661910
4.56125E+11,12237400595,15516903826,36245635206
3.1658E+11,40578772307,52560968028,34418288479
4.30981E+11,29766497586,32057819051,32647131835
4.90116E+11,24544506952,29509914628,34118861422
2.86511E+11,17634213918,17126567708,46330269925
4.7591E+11,20855556587,1.17445E+11,40263048525
3.91109E+11,23336655205,27533163824,40372294900
2.5456E+11,21704150892,16116096304,30134136795
3.47561E+11,11991474526,20413057964,23425245935
4.96265E+11,15038754243,20404455039,31034460720
3.33957E+11,31746559241,27687020681,27468973808
3.13376E+11,10778322315,9075362064,43398911778
4.05877E+11,15483938499,56227634128,25840351810
4.09779E+11,11772252739,24826132831,37968156317
3.34955E+11,21142187952,16367359726,28233485449
2.15875E+11,15910628277,16583708796,40704338531
2.75959E+11,28559095208,43639299986,18824638629
3.61079E+11,23402565165,15021442676,40278111148
2.76855E+11,33830763530,7557666139,35874404275
3.50357E+11,26010125114,15520971940,35038686361
3.01998E+11,14249071173,25594076168,38821758563
3.27472E+11,12996715747,35756962089,38435978230
4.34482E+11,39643366260,15174544223,34829517779
3.13669E+11,17690195206,26365603364,27459535540
3.05336E+11,34863926177,22079292389,26334245025
4.64702E+11,15967164012,51540765687,36828474009
4.15363E+11,14442028150,19114333644,26508232123
4.84286E+11,16654707197,20423860089,36729990295
2.59666E+11,18321863334,68253164850,26881862503
4.0803E+11,11223926731,11070859470,37047016326
2.3555E+11,12411302921,16745967586,24912952147
2.15656E+11,11752622864,31425554154,38660849429
2.43535E+11,19993625750,11881682783,30881000821
2.27883E+11,16908690968,18092267714,40846807295
3.44801E+11,8313136247,22957621887,33811443284
5.62814E+11,22063510925,29920397354,21955258617
3.05106E+11,35796335741,21280707519,31560278876
3.15262E+11,17309043874,16399980329,28057664246
4.37503E+11,19634036803,16083163145,52200841127
3.24064E+11,25411989102,18998750060,24039542766
2.80316E+11,27423972913,34642651343,43409113780
2.49898E+11,13954021068,18826375937,28740013484
2.94405E+11,30979712419,12525112238,37976225984
4.41787E+11,13515685898,32073167663,19616246622
4.34543E+11,13728282952,21065324940,36930911116
4.24854E+11,19152079959,10509455889,29405283616
3.53161E+11,9350073138,18436475244,27897841181
4.16681E+11,25326273819,27218016193,28155105344
2.48886E+11,30399472781,15938491102,51898023301
3.63626E+11,22309893726,42974387403,29113290376
3.33072E+11,22581009503,25876332273,36909578406
2.27277E+11,19930380719,8476068392,40799818664
3.80162E+11,15728550523,14416346632,32182027717
4.19363E+11,24516516452,12272388633,29163109025
3.41737E+11,15810117804,14611513262,37827982436
