species,larval,postlarval,juvenile.adult,total_farmed_d
monodon,3.852278633,15.16163553,79.84023883,155.9161964
monodon,2.647046183,17.27995039,90.61954423,201.6464261
monodon,6.302799265,16.7825268,32.3538951,183.5354849
monodon,1.560430802,16.200178,28.71172775,205.8834011
monodon,2.764579687,19.61537021,82.24585987,156.732214
monodon,2.375394225,16.05360912,63.28611969,217.8058727
monodon,1.139350179,27.16268882,50.00277195,174.7809037
monodon,8.452211763,19.86539199,139.4702948,146.0970102
monodon,0.328705726,19.98071245,94.13439095,164.2698202
monodon,1.958600823,17.42001292,189.6276347,147.2583466
monodon,2.34976543,10.81500601,47.348318,195.0742022
monodon,4.126034154,24.11797034,79.20858146,214.9119953
monodon,2.480851932,11.33222854,51.34063035,207.5895354
monodon,4.843462975,19.83201572,111.3218357,196.4173571
monodon,1.550722528,19.04662321,42.07496937,137.3718112
monodon,2.317664755,22.01969822,72.72885062,156.2529792
monodon,0.851375254,12.58739678,38.31453304,183.3784572
monodon,0.716796791,12.42712226,74.44950708,169.9566654
monodon,0.309027045,12.54148221,110.0866316,165.8554387
monodon,5.155718291,13.70021231,62.41728879,197.0553568
monodon,0.860013449,21.04219808,107.3342141,183.1338699
monodon,2.042279246,16.58528536,167.0533353,138.9286105
monodon,1.240660957,15.05228427,53.30340554,177.7826061
monodon,1.281941616,14.33271009,37.00175275,186.0566863
monodon,16.23469613,19.38640225,54.72068676,157.6660921
monodon,2.467897474,20.39088394,33.61456936,210.8315935
monodon,0.930499629,12.38974212,70.592976,166.2755511
monodon,3.348106628,11.66110742,94.87625206,174.6322759
monodon,0.84414535,25.64185975,41.37366116,158.876959
monodon,2.945423812,14.57634081,40.54835541,180.6946494
monodon,1.766756607,12.0696184,76.63671465,205.5846009
monodon,1.508272411,12.75599268,106.5995144,196.8529681
monodon,0.295217437,21.1723962,101.0602497,219.0362543
monodon,1.674752219,18.02309766,28.70969082,193.7337128
monodon,2.593052402,14.90098927,86.96676857,189.5211856
monodon,0.464027996,20.11594037,56.61352416,177.0744579
monodon,3.923952796,16.67818799,50.90765292,190.5236935
monodon,4.442462395,32.00299185,66.31994829,172.0898143
monodon,0.836560323,22.2753384,71.27991469,193.9597609
monodon,1.640728021,15.65905737,120.6318937,156.1645584
monodon,1.327146242,21.13510018,47.88264198,198.6798233
monodon,7.230424914,19.55766004,52.78607478,170.0392926
monodon,1.522846558,15.16063687,64.95543797,148.3973101
monodon,1.458375971,12.94897943,53.11924922,167.8879546
monodon,2.10244344,18.35891205,155.5513517,151.6055787
monodon,2.421306561,12.58764251,72.49956309,163.5950266
monodon,3.488687694,14.64858526,80.59652637,200.9455386
monodon,1.902444389,12.61354143,134.4285803,174.962213
monodon,0.962529431,22.42585674,60.24866463,186.5978949
monodon,1.81578273,19.75176146,46.96920738,167.3048323
monodon,2.762422394,28.51153675,107.2516332,191.5868427
